"id","obs_date","asm","asm_d11","asm_d","asm_d_d11","asm_i","asm_i_d11","rpm","rpm_d11","rpm_d","rpm_d_d11","rpm_i","rpm_i_d11","load_factor","load_factor_d11","load_factor_d","load_factor_d_d11","load_factor_i","load_factor_i_d11","enplane_i","enplane_i_d11","enplane_d","enplane_d_d11","enplane","enplane_d11","air_rpm_tsi","air_rpm_tsi_d11","air_rtmfm","air_rtmfm_d11","rail_frt_carloads","rail_frt_carloads_d11","rail_frt_intermodal","rail_frt_intermodal_d11","rail_pm","rail_pm_d11","transit","transit_d11","petroleum","petroleum_d11","natural_gas","natural_gas_d11","waterborne","waterborne_d11","truck_d11","vmt","vmt_d11","tsi_freight","tsi_freight_c","tsi_passenger","tsi_passenger_c","tsi_total","tsi_total_c","ind_pro","manuf","inv_to_sales","idx_air_rpm","idx_air_rtmfm","idx_rail_frt_carloads","idx_rail_frt_intermodal","idx_rail_pm","idx_transit_d11","idx_petroleum_d11","idx_natural_gas_d11","idx_waterborne_d11","idx_truck_d11"
"SATD200604","2006-04-01T00:00:00.000","82991119","83854102","59917615","60486130","23073504","23367972","67122793","67191072","48800883","48505107","18321910","18685966","80.9","80.1","81.4","80.2","79.4","80","7346","7357","55829","55920","63175","63277","68120559","68164075","3270920","3301150","1398326","1393237","991471","1016757","445609435","452375576","780066","797727","209681","214518","1681","1794.5","47.1","45.5","84.9","250644","250631","111.2","-0.7","110.4","0.4","111.1","-0.3","101.3080455187003","91.7727485462248","1.48","1.1558","1.2859","1.0297","1.3696","0.9711","1.0131","0.9587","0.957","0.9219","1.1334"
"SATD200605","2006-05-01T00:00:00.000","85233860","83592743","61284297","60298228","23949563","23294515","68435521","66749219","49302219","48050651","19133302","18698568","80.3","79.9","80.4","79.7","79.9","80.3","7304","7297","57145","54853","64449","62150","69352606","67946878","3210319","3250752","1473473","1430687","1019525","1005376","459957974","447681614","844162","806420","223528","216276","1526.3","1851.7","48.9","45.7","87.3","263370","250030","113.6","2.2","110.5","0.1","112.8","1.5","101.3335053214302","94.00691158638128","1.5","1.1521","1.2663","1.0573","1.3543","0.961","1.0241","0.9665","0.9874","0.9259","1.1654"
"SATD200606","2006-06-01T00:00:00.000","86336051","83700961","61692651","60300814","24643400","23400147","73147256","66066124","52200272","47329769","20946984","18736355","84.7","78.9","84.6","78.5","85","80.1","7932","7224","59297","53986","67229","61210","74099238","67222934","3367968","3344713","1418701","1423202","1007434","1005420","516527472","454076796","833120","829065","218297","218202","1550.9","1887.9","48.1","45.9","86.3","263782","250453","113","-0.5","110.7","0.2","112.4","-0.3","101.6747488064054","93.83418077223187","1.5","1.1399","1.3029","1.0518","1.3543","0.9748","1.0529","0.9751","1.0068","0.9289","1.1518"
"SATD200607","2006-07-01T00:00:00.000","90151121","83669506","64111164","60262072","26039957","23407434","76711219","66339464","54506446","47618894","22204773","18720570","85.1","79.3","85","79","85.3","80","8669","7212","60839","54511","69508","61723","77798621","67429684","3201528","3268546","1384334","1396604","1016949","1004471","549393934","451625032","776849","812825","224843","220770","1758.7","1966.4","47.7","44.9","85.3","263421","249092","111.7","-1.1","110.3","-0.4","111.4","-0.9","101.6083274662192","92.2269172119999","1.5","1.1434","1.2732","1.0322","1.353","0.9695","1.0323","0.9866","1.0487","0.9095","1.1387"
"SATD200608","2006-08-01T00:00:00.000","90024823","84027039","64332983","60575068","25691840","23451972","73076758","64961267","52074386","46732396","21002372","18228871","81.2","77.3","80.9","77.1","81.7","77.7","8175","7081","58303","53982","66478","61063","74227051","66130894","3395702","3363859","1456353","1388958","1081544","1015206","530942270","450233598","826059","813916","228039","221057","1751.7","1923.9","45.8","44.2","82.8","265206","249501","109.6","-1.9","108.9","-1.3","109.5","-1.7","102.049356952216","94.10539260397228","1.49","1.1213","1.3103","1.0265","1.3675","0.9665","1.0336","0.9879","1.026","0.8947","1.1049"
"SATD200609","2006-09-01T00:00:00.000","81730332","84408433","58383462","60785867","23346870","23622565","61249897","66142028","43108587","47686278","18141310","18455750","74.9","78.4","73.8","78.4","77.7","78.1","6476","7160","49950","54490","56426","61650","62345744","67338503","3387556","3388233","1401873","1388906","1036485","1007289","427768908","460804150","837889","827019","217709","221270","1462.1","1841.9","46.6","51","85.4","245605","250388","112.7","2.9","110.8","1.8","112.3","2.5","101.8644654009404","91.93703177872985","1.5","1.1418","1.3198","1.0265","1.3568","0.9892","1.0503","0.9888","0.9822","1.0314","1.1395"
"SATD200610","2006-10-01T00:00:00.000","84229901","84466119","60802722","60507202","23427179","23958917","65091487","66631592","47137132","47868774","17954355","18762818","77.3","78.9","77.5","79.1","76.6","78.3","6556","7239","55089","55010","61645","62250","66082164","67544959","3514733","3288901","1449720","1373846","1088675","1000106","451598087","462135431","870254","811716","211168","212462","1644.2","1948.8","46","44.1","84.7","257939","251413","110.7","-1.8","110.4","-0.4","110.8","-1.4","101.7600596776492","91.46241107318416","1.5","1.1453","1.2811","1.0153","1.3472","0.9921","1.0308","0.9495","1.0392","0.8919","1.1304"
"SATD200611","2006-11-01T00:00:00.000","80421711","84327115","58912308","60788346","21509403","23538768","62637778","67662015","45966808","48704436","16670970","18957579","77.9","80.2","78","80.1","77.5","80.5","6441","7333","53852","55958","60293","63291","63548732","68456809","3606059","3372290","1338575","1358720","982941","991860","451610146","463800229","818314","821736","210501","211441","1765.4","1852.2","44.9","43.8","82.3","245346","252836","108.5","-2","111.8","1.3","109.6","-1","101.7327519860116","92.55637289613044","1.49","1.1608","1.3136","1.0042","1.3361","0.9956","1.0436","0.9449","0.9877","0.8864","1.0991"
"SATD200612","2006-12-01T00:00:00.000","84639954","85030768","61161328","61039834","23478626","23990934","65157505","67520674","46835639","48587203","18321866","18933472","77","79.4","76.6","79.6","78","78.9","7195","7394","53539","55771","60734","63165","65980782","68473392","3506047","3354955","1357724","1416434","960382","1001512","461370074","454294427","785344","833695","218230","210128","2122.8","1714.7","44.1","45.2","84.2","248187","253944","110.5","1.9","112.3","0.4","111.2","1.4","102.7759879349641","95.70865467816218","1.49","1.1611","1.3069","1.0468","1.3491","0.9752","1.0588","0.939","0.9144","0.9144","1.1235"
"SATD200701","2007-01-01T00:00:00.000","84354435","86441898","60618488","62210473","23735947","24231424","61896193","68546120","43823680","49225579","18072513","19320542","73.4","79.3","72.3","79.1","76.1","79.7","7116","7418","50022","56283","57138","63701","63016014","69294217","3026361","3331489","1329798","1358836","958822","994026","377529725","460110051","811394","828706","212341","209141","2475.6","1788.8","41.7","45.5","83.8","233621","254533","109.8","-0.7","113","0.6","110.9","-0.3","102.4085660237949","93.49427676343592","1.49","1.175","1.2977","1.0042","1.339","0.9877","1.0524","0.9346","0.9539","0.9202","1.119"
"SATD200702","2007-02-01T00:00:00.000","75799074","85548059","54490060","61264445","21309014","24283614","56914815","68207411","41270274","48686032","15644541","19521379","75.1","79.7","75.7","79.5","73.4","80.4","6327","7404","47766","55868","54093","63273","57793832","68861956","2908924","3373882","1217842","1351140","897150","997493","360542790","469721706","762950","829792","199136","217650","2567","2080.4","36.2","42.7","84.1","219232","249391","110.4","0.5","112.6","-0.4","111.2","0.3","103.3961599845235","95.23959159211935","1.49","1.1676","1.3142","0.9986","1.3436","1.0083","1.0538","0.9727","1.1094","0.864","1.1228"
"SATD200703","2007-03-01T00:00:00.000","87561518","85876476","63131522","61394220","24429996","24482257","71497177","68778723","51518429","48864462","19978748","19914261","81.7","80.1","81.6","79.6","81.8","81.3","7926","7469","59244","56098","67170","63568","72700241","69547181","3590561","3390490","1400930","1359551","983297","988765","459164806","474667668","879460","839236","221659","223921","2128.8","1838.2","47.9","46.4","85.3","259638","254292","111.7","1.2","113.8","1","112.5","1.1","103.579511628376","96.76393546936842","1.47","1.1793","1.3207","1.0048","1.3319","1.019","1.0658","1.0007","0.9803","0.9385","1.1393"
"SATD200704","2007-04-01T00:00:00.000","85179094","85967739","61124424","61606254","24054670","24361485","68813909","68895222","49772604","49374863","19041305","19520359","80.8","80.1","81.4","80.1","79.2","80.1","7488","7466","57396","56778","64884","64244","69836157","69856387","3256970","3271006","1371907","1366088","949860","979914","470429231","476716159","828090","828000","206879","211542","1810.1","1936.3","48.1","47.1","83.7","252595","251375","110.3","-1.3","113.7","-0.1","111.4","-0.9","104.2746258391964","97.25233907128124","1.49","1.1845","1.2742","1.0096","1.32","1.0234","1.0515","0.9454","1.0326","0.9532","1.1176"
"SATD200705","2007-05-01T00:00:00.000","87873082","85986003","62774346","61586162","25098736","24399841","70947617","68700441","51031835","49344519","19915782","19355922","80.7","79.9","81.3","80.1","79.3","79.3","7491","7446","59284","56714","66775","64160","71933108","69924114","3283361","3318298","1404578","1364177","993255","982945","494257576","478439306","886746","849327","218575","211903","1559.1","1903","50","46.6","83.9","267574","254131","110.4","0.1","114.6","0.9","111.8","0.3","104.3306784694","98.50458189766944","1.47","1.1857","1.2926","1.0082","1.3241","1.0271","1.0786","0.947","1.0148","0.9441","1.1204"
"SATD200706","2007-06-01T00:00:00.000","88605372","85783481","62620840","61259273","25984532","24524208","75914661","68866850","54018698","49361424","21895963","19505426","85.7","80.3","86.3","80.6","84.3","79.5","8193","7496","61494","56714","69687","64210","76926452","70343007","3282603","3271732","1388137","1397961","996168","990199","545207971","486250887","831911","841967","214007","214575","1555.2","1890","48.4","46.1","82.8","265374","253200","109.6","-0.7","114.8","0.2","111.3","-0.4","104.3592180869761","98.44255886401734","1.5","1.1928","1.2745","1.0332","1.3338","1.0438","1.0693","0.9589","1.0079","0.9336","1.1056"
"SATD200707","2007-07-01T00:00:00.000","92900558","85512261","65566711","61005088","27333847","24507174","79865223","68732670","56572991","49126453","23292232","19606217","86","80.4","86.3","80.5","85.2","80","8946","7482","63457","56198","72403","63680","80988340","70229467","3237816","3290061","1351172","1359385","991480","976674","585837053","482565709","815264","834625","218167","214104","1659.9","1854.8","46.1","43.4","82.8","267106","252333","108.7","-0.8","114.4","-0.4","110.5","-0.7","104.1955772581402","98.329850340499","1.5","1.1908","1.2816","1.0047","1.3156","1.0359","1.0599","0.9568","0.9891","0.8791","1.106"
"SATD200708","2007-08-01T00:00:00.000","92794576","86530306","65556234","61774492","27238342","24755815","78314560","69259900","55682567","49741907","22631993","19517993","84.4","80","84.9","80.5","83.1","78.8","8685","7462","62658","57268","71343","64730","79439827","70523558","3373928","3352518","1443340","1372805","1031714","968290","570807078","485486446","858265","839674","218382","212235","1896.1","2082.8","42.1","40.2","83.6","271225","254221","109.5","0.8","114.9","0.5","111.3","0.7","104.3998716429479","98.64085472787998","1.49","1.1958","1.3059","1.0146","1.3043","1.0422","1.0664","0.9485","1.1107","0.8144","1.1167"
"SATD200709","2007-09-01T00:00:00.000","84375737","87221945","59796292","62260425","24579445","24961520","64781658","69755827","45240435","49871359","19541223","19884468","76.8","80","75.7","80.1","79.5","79.7","6901","7632","52308","57449","59209","65081","65913314","70684850","3321480","3342782","1393274","1379839","1006150","979956","451772968","487486823","844668","850889","205325","208186","1590.5","2001.7","40.5","45.1","82.4","245965","253290","109.2","-0.3","115.6","0.6","111.3","0","104.6549829727203","99.30710215388486","1.49","1.1986","1.3021","1.0198","1.32","1.0465","1.0806","0.9304","1.0675","0.9123","1.1001"
"SATD200710","2007-10-01T00:00:00.000","86936676","87460292","62497723","62316408","24438953","25143885","68397379","70168342","49069269","49929774","19328110","20238568","78.7","80.2","78.5","80.1","79.1","80.5","6971","7754","57206","56979","64177","64733","69445349","71254854","3560820","3318212","1448865","1376502","1043165","959035","483184463","493594561","925613","849552","214211","215178","1627.8","1920.6","47.1","45.2","84.7","261423","253767","110.9","1.5","116.2","0.5","112.6","1.2","104.3488493769934","100.750527091172","1.48","1.2082","1.2926","1.0173","1.2918","1.0596","1.0789","0.9616","1.0242","0.916","1.1311"
"SATD200711","2007-11-01T00:00:00.000","83926904","88213712","60801594","62733631","23125310","25480081","65333114","70326361","47256388","49767887","18076726","20558474","77.8","79.7","77.7","79.3","78.2","80.7","6862","7781","55044","56443","61906","64224","66250428","70881816","3560924","3322112","1373748","1391790","965202","972293","503151672","510750221","853354","853734","212512","212752","1834.5","1915.5","45.1","43.6","84.6","245787","252121","110.7","-0.2","116","-0.2","112.4","-0.2","104.9361700681918","103.1549755928967","1.46","1.2019","1.2941","1.0286","1.3097","1.0964","1.0842","0.9508","1.0215","0.8826","1.1295"
"SATD200712","2007-12-01T00:00:00.000","87368019","88114077","62270682","62411757","25097337","25702320","66764862","69820534","47070645","49320084","19694217","20500450","76.4","79.2","75.6","79","78.5","79.8","7548","7757","53289","56390","60837","64148","67782533","70772880","3458868","3304374","1320075","1378673","922209","963021","508739922","503974180","786304","842023","220590","212380","2399.2","1927.8","43.6","44.8","84.5","240281","247460","110.6","-0.1","115.4","-0.5","112.2","-0.2","104.997458383634","102.7826150862039","1.49","1.2","1.2872","1.0189","1.2972","1.0819","1.0693","0.9491","1.028","0.9063","1.128"
"SATD200801","2008-01-01T00:00:00.000","85823989","88028278","60635551","62298475","25188438","25729804","63504217","70116742","44233383","49541013","19270834","20575729","74","79.7","72.9","79.5","76.5","80","7465","7785","50245","56655","57710","64440","64667106","70938407","3065185","3367583","1348333","1376381","931504","961261","416211470","499239891","824117","843891","217295","214051","2734","1966.2","41.4","45.1","87.5","232920","253376","113.3","2.5","115.6","0.2","114.2","1.8","104.8669768946438","104.1551247986344","1.48","1.2029","1.3118","1.0172","1.2948","1.0717","1.0717","0.9566","1.0485","0.9132","1.1686"
"SATD200802","2008-02-01T00:00:00.000","80678778","88216702","57170275","62257023","23508503","25959679","60578995","70096109","43429251","49344088","17149744","20752021","75.1","79.5","76","79.3","73","79.9","6933","7833","50118","56072","57051","63905","61504425","70877200","2937434","3287087","1297350","1374568","901465","966149","395912010","495291554","818762","844986","196679","205602","2503.4","1981.2","36.9","43.1","85.8","221336","250551","111.3","-1.8","115.6","0","112.7","-1.3","104.4833346252839","103.8134423515975","1.5","1.2018","1.2804","1.0159","1.3014","1.0632","1.0731","0.9188","1.0565","0.8733","1.1461"
"SATD200803","2008-03-01T00:00:00.000","89259053","87597552","63249344","61613521","26009709","25984030","73427185","70255034","52016986","49255748","21410199","20999287","82.3","80.2","82.2","79.9","82.3","80.8","8512","7856","59213","56445","67725","64300","74575530","70927059","3365775","3241099","1405927","1364096","924022","942130","504552405","505675118","866867","846696","204397","207396","2278.2","1990.7","38","36.7","85.7","252343","248981","109.5","-1.6","115.7","0.2","111.5","-1.1","104.1498933379194","102.8084024406972","1.48","1.2027","1.2625","1.0081","1.2691","1.0855","1.0753","0.9268","1.0616","0.7437","1.1437"
"SATD200804","2008-04-01T00:00:00.000","85702945","86566633","60127860","60653111","25575085","25913522","67956166","69317370","48189445","48515884","19766721","20801486","79.3","80.1","80.1","80","77.3","80.3","7586","7868","55611","55691","63197","63559","68906882","70627501","3414759","3369816","1383944","1377643","933124","950588","473811702","500091663","894223","875959","204651","209450","1823.9","1958","41.4","40.8","86.6","252088","249101","111.6","1.9","116.7","0.8","113.2","1.5","103.4359922565362","105.7110359546598","1.49","1.1976","1.3127","1.0181","1.2805","1.0735","1.1124","0.936","1.0442","0.8257","1.1561"
"SATD200805","2008-05-01T00:00:00.000","88697897","86847404","61778291","60746565","26919606","26100839","71791924","69205397","50259915","48456498","21532009","20748900","80.9","79.7","81.4","79.8","80","79.5","7980","7826","58047","55313","66027","63139","72725750","70257262","3243077","3286645","1411409","1376440","971403","956686","550928592","531745764","900514","876357","219870","213847","1576.4","1934.6","44.8","41.4","86.4","261466","248415","111.3","-0.2","116.4","-0.2","113","-0.2","102.7976492993834","105.6494575305679","1.47","1.1913","1.2803","1.0173","1.2887","1.1415","1.1129","0.9557","1.0317","0.8377","1.1531"
"SATD200806","2008-06-01T00:00:00.000","89783653","86274227","62328400","60465365","27455253","25808862","75301714","68419945","52521313","48014902","22780401","20405043","83.9","79.3","84.3","79.4","83","79.1","8397","7662","59559","55050","67956","62712","76162104","69431833","3103666","3092038","1334423","1350241","951636","953480","580290736","521581172","867243","879796","205520","205927","1604.2","1952.6","39.1","36.8","86.8","257484","246701","109.8","-1.4","115.6","-0.7","111.7","-1.2","102.529910728741","107.1213374797098","1.47","1.1773","1.2045","0.9979","1.2844","1.1197","1.1173","0.9203","1.0413","0.7439","1.1593"
"SATD200807","2008-07-01T00:00:00.000","93730363","85708255","64884634","59988251","28845729","25720004","78772769","67560617","54621355","47364670","24151414","20195947","84","78.8","84.2","79","83.7","78.5","9072","7598","61402","54404","70474","62001","79707545","68727902","3101001","3125801","1382679","1389379","977190","960703","645144911","540561305","895654","900312","206156","202125","1708.6","1910.4","45.1","42.5","86.4","261600","245645","111.1","1.1","115.9","0.2","112.6","0.9","102.0644480449631","106.8716892116405","1.48","1.1654","1.2176","1.0268","1.2941","1.1604","1.1434","0.9033","1.0188","0.8609","1.1529"
"SATD200808","2008-08-01T00:00:00.000","91768764","85336044","63117945","59551122","28650819","25784922","76359814","67480791","52643147","47245179","23716667","20235612","83.2","79.1","83.4","79.3","82.8","78.5","8862","7602","58966","54550","67828","62153","77300568","68076881","3043654","3070385","1434978","1363340","1010766","945136","620188551","537222476","875549","885390","206669","201665","1682.9","1844.9","45.3","43.2","84.3","260609","244681","108.9","-1.9","114.5","-1.2","110.7","-1.7","100.4523702938904","103.7454170888823","1.49","1.1543","1.196","1.0076","1.2731","1.1533","1.1244","0.9012","0.9839","0.8739","1.125"
"SATD200809","2008-09-01T00:00:00.000","78680600","81350403","53906436","55935217","24774164","25415187","60292068","64562614","41015590","44801778","19276478","19760835","76.6","79.4","76.1","80.1","77.8","77.8","6553","7278","47680","51298","54233","58576","61198749","65731321","2973954","2966815","1338637","1323265","970951","939834","500634771","533001677","896800","869589","171319","172953","1460.9","1828.6","36.6","41.2","84.4","239607","245948","107.4","-1.4","111.3","-2.8","108.7","-1.8","96.04669515619126","100.7703122166023","1.51","1.1146","1.1557","0.978","1.266","1.1442","1.1043","0.7729","0.9751","0.8348","1.1272"
"SATD200810","2008-10-01T00:00:00.000","80860346","81400400","56299338","56100023","24561008","25300377","64011438","64925893","44913078","45124935","19098360","19800958","79.2","79.8","79.8","80.4","77.8","78.3","6717","7378","52956","51790","59673","59168","65018204","66015744","3142112","2928802","1405300","1335051","1012317","935653","517898247","524043214","954787","874661","209416","209678","1635.8","1925.8","44.2","42.4","83","255848","246795","107.4","0","111.8","0.4","108.8","0.1","97.0126277525005","96.38068202845004","1.56","1.1194","1.1409","0.9867","1.2603","1.125","1.1108","0.937","1.027","0.8589","1.1075"
"SATD200811","2008-11-01T00:00:00.000","76460085","80969098","53450486","55561924","23009599","25407173","57684017","63879263","40578576","44255529","17105441","19623734","75.4","78.9","75.9","79.7","74.3","77.2","6397","7359","47658","51342","54055","58701","58512623","65256077","2791288","2611996","1240255","1254899","890308","899774","484492078","500932976","836322","872724","207473","206976","1869","1938.3","42.8","41","81.5","236465","246244","104.2","-3","110.8","-0.9","106.2","-2.4","95.7429227518466","89.27426512251151","1.61","1.1065","1.0175","0.9274","1.212","1.0753","1.1083","0.9249","1.0337","0.8289","1.0885"
"SATD200812","2008-12-01T00:00:00.000","79880143","80878089","55361169","55522363","24518974","25355726","62697156","64461463","43824845","44784423","18872311","19677040","78.5","79.7","79.2","80.7","77","77.6","7129","7338","50254","51422","57383","58760","63503416","65228407","2629749","2508488","1123059","1180220","774709","814007","511270950","503994800","836796","863050","215683","207829","2399.7","1921.2","36.8","38","79.4","241742","246829","100.4","-3.6","110.3","-0.4","103.4","-2.7","93.03771605131044","84.8081620899997","1.62","1.106","0.9771","0.8722","1.0965","1.0819","1.096","0.9288","1.0245","0.7694","1.0602"
"SATD200901","2009-01-01T00:00:00.000","78697077","81133326","53952839","55887770","24744238","25245556","57424037","63386840","39299677","44100013","18124360","19286826","73","78.1","72.8","78.9","73.2","76.4","6987","7294","44822","50757","51809","58051","58373786","64565811","2257630","2488258","1131568","1156344","825499","831162","419766348","503313512","811077","845072","208535","205327","2729.7","1953.3","33.5","37.1","77.5","225529","245974","98.5","-1.8","108.8","-1.4","101.6","-1.7","90.72231124982694","81.93731815959364","1.57","1.0948","0.9693","0.8546","1.1196","1.0805","1.0732","0.9176","1.0416","0.7512","1.0342"
"SATD200902","2009-02-01T00:00:00.000","71903819","81887353","49969301","56731576","21934518","25155777","52712775","63833638","37640543","44738048","15072232","19095589","73.3","78","75.3","78.9","68.7","75.9","6166","7269","43677","51571","49843","58840","53506580","65500241","2190771","2543999","1077273","1204706","704833","785334","376710497","492955014","793796","862288","182686","201384","2332.5","1896.8","34.1","40.3","79.4","217643","248466","100.9","2.4","110.5","1.6","103.8","2.1","90.18005851588016","82.28055674009131","1.55","1.1106","0.991","0.8903","1.0579","1.0582","1.0951","0.9","1.0115","0.816","1.0594"
"SATD200903","2009-03-01T00:00:00.000","82111842","80358392","57331261","55560082","24780581","24798310","65147741","63234020","46517762","44365468","18629979","18868553","79.3","78.7","81.1","79.9","75.2","76.1","7446","7095","53531","50952","60977","58047","66027342","63756665","2493784","2354106","1162171","1121523","785699","791924","456227991","471623722","881916","845213","195665","198957","2170.7","1923.5","37.2","36.2","75.6","249741","244904","95.8","-5.1","107.8","-2.5","99.4","-4.2","88.76940065575846","79.85521158903587","1.57","1.0811","0.917","0.8289","1.0667","1.0124","1.0734","0.8891","1.0258","0.7318","1.0093"
"SATD200904","2009-04-01T00:00:00.000","79844963","80564854","55279990","55725916","24564973","24838938","64352894","64693676","45419277","45211257","18933617","19482419","80.6","80.3","82.2","81.1","77.1","78.4","7295","7317","52245","51914","59540","59232","65166301","65705693","2474719","2476512","1065507","1060812","765898","790000","469783200","472630172","867250","848811","197212","202254","1741.3","1883.1","37.1","36.7","74.8","251374","247873","94.9","-0.9","110.1","2.1","99.5","0.1","88.07274653751482","78.64854124257126","1.54","1.1141","0.9647","0.784","1.0641","1.0146","1.078","0.9039","1.0042","0.7429","0.9985"
"SATD200905","2009-05-01T00:00:00.000","81580179","79858662","56504791","55556501","25075388","24302162","65015083","62573412","45980485","44310844","19034598","18262568","79.7","78.4","81.4","79.8","75.9","75.1","6797","6671","52949","50503","59746","57174","65868255","63276432","2427371","2460287","1075381","1045212","789132","778569","494908098","476965681","848882","839307","204193","198674","1504","1846.5","37.4","34","76.4","258276","246794","95.1","0.2","107","-2.8","98.7","-0.8","87.20352012738087","78.80326536953135","1.5","1.0729","0.9584","0.7725","1.0488","1.0239","1.0659","0.8878","0.9847","0.6879","1.0195"
"SATD200906","2009-06-01T00:00:00.000","83761399","80008116","57716505","55560538","26044894","24447578","70562995","64133954","49290282","45065653","21272713","19068301","84.2","80.2","85.4","81.1","81.7","78","7678","7056","55898","51598","63576","58654","71350228","64747345","2613309","2588051","1074935","1096028","779312","773613","542873119","482048854","842850","839502","191876","191324","1527.8","1860.8","41.2","38.8","75.3","258395","246498","96.2","1.1","108.7","1.5","99.9","1.3","86.92736339615844","80.41630885404632","1.45","1.0979","1.0081","0.81","1.0421","1.0348","1.0661","0.855","0.9923","0.786","1.0052"
"SATD200907","2009-07-01T00:00:00.000","88185197","80036914","60500022","55583365","27685175","24453549","76201891","64938721","52704805","45468637","23497086","19470085","86.4","81.1","87.1","81.8","84.9","79.6","8640","7140","59469","52031","68109","59170","77136799","65390252","2618063","2631605","1143030","1147532","801835","788399","596670353","490962575","840198","842652","200588","197015","1658","1848.8","42.2","39.7","76.9","264472","247534","98.4","2.3","109.6","0.8","101.7","1.8","87.96495301789268","80.57414524792802","1.42","1.1088","1.0251","0.8481","1.062","1.0539","1.0701","0.8804","0.9859","0.804","1.0268"
"SATD200908","2009-08-01T00:00:00.000","86680535","80476772","59356993","55942089","27323542","24534683","73607921","65506509","50467291","45716079","23140630","19790430","84.9","81.4","85","81.7","84.7","80.7","8464","7266","56568","53058","65032","60324","74614772","65785535","2612420","2643842","1202053","1130842","849068","794843","582302101","502167836","830487","842204","188445","184257","1736.5","1905.9","42.7","40.4","77.9","260297","246986","99.1","0.8","110","0.4","102.4","0.7","88.94433413903096","81.53094502154329","1.37","1.1155","1.0299","0.8357","1.0707","1.078","1.0696","0.8234","1.0164","0.8184","1.0402"
"SATD200909","2009-09-01T00:00:00.000","75867784","78539197","52447290","54494931","23420494","24044266","60512481","64343554","41656740","45167831","18855741","19175724","79.8","81.9","79.4","82.9","80.5","79.8","6443","7178","48235","51629","54678","58807","61435354","65446397","2747556","2753280","1149431","1133826","827634","804041","462787005","499023740","865917","838586","195970","196434","1575","1962.8","33.3","38","78.4","241970","246455","99.7","0.6","109.5","-0.5","102.6","0.2","89.70689629498641","83.31338474850595","1.41","1.1097","1.0725","0.838","1.0831","1.0712","1.065","0.8778","1.0467","0.7692","1.0474"
"SATD200910","2009-10-01T00:00:00.000","77095147","77727689","54453812","54475838","22641335","23251851","63325757","64165500","44781576","45055384","18544181","19110116","82.1","82.6","82.2","82.7","81.9","82.2","6530","7136","52279","51489","58809","58625","64274740","65219096","3045702","2858290","1185330","1116728","892313","821616","493132875","500337655","904060","838872","188100","187443","1666.5","1955.2","36.5","34.6","77.9","252209","244074","98.6","-1.1","109.2","-0.2","101.8","-0.8","89.91098535880433","84.16592358024725","1.4","1.1059","1.1134","0.8253","1.1067","1.0741","1.0653","0.8377","1.0427","0.7006","1.0403"
"SATD200911","2009-11-01T00:00:00.000","73745383","78306043","52483166","54605156","21262217","23700887","58170882","63333599","41573018","44177981","16597864","19155618","78.9","80.9","79.2","80.9","78.1","80.8","6250","7137","48585","50601","54835","57738","59011015","64245197","3052858","2893673","1136834","1149122","830896","845251","498855768","514004954","804750","826935","203418","202294","1776.2","1824","42.1","40.1","79.3","237264","246232","101.3","2.7","107.7","-1.4","103.2","1.4","90.2784072699735","85.88834101657883","1.4","1.0894","1.1272","0.8493","1.1386","1.1034","1.0502","0.904","0.9727","0.8113","1.0586"
"SATD200912","2009-12-01T00:00:00.000","77629338","78753812","54631266","54817413","22998072","23936399","62377082","65013433","43650676","45383016","18726406","19630418","80.4","82.6","79.9","82.8","81.4","82","7152","7316","49793","51777","56945","59093","63231672","66097315","3127833","2944050","1063803","1116240","789595","847963","537980573","527673394","807889","835793","200540","192876","2491.9","1985.8","37.4","38.6","80.1","239593","244784","101.7","0.4","110.2","2.3","104.2","1","90.58803132252622","86.88937944143701","1.39","1.1208","1.1468","0.825","1.1422","1.1328","1.0614","0.8619","1.059","0.7824","1.0698"
"SATD201001","2010-01-01T00:00:00.000","77531488","80391454","53795979","56173057","23735509","24218397","58655574","64899475","40301481","45354122","18354093","19545353","75.7","80.7","74.9","80.7","77.3","80.7","7050","7343","45502","51550","52552","58894","59651062","66054796","2628608","2897144","1127827","1148928","852692","870469","440854078","529400347","791522","840762","200332","198110","2809.8","2008.6","39.8","41.9","80.4","220839","242519","103","1.3","110.3","0.1","105.2","0.9","91.56258740040523","88.08048845329355","1.39","1.12","1.1285","0.8491","1.1725","1.1365","1.0677","0.8853","1.0712","0.8484","1.0732"
"SATD201002","2010-02-01T00:00:00.000","68557029","78494059","47817558","54605972","20739471","23888087","52438942","63856382","36997641","44155840","15441301","19700542","76.5","81.4","77.4","80.9","74.5","82.5","6241","7392","42441","50318","48682","57710","53240066","65728794","2564858","2975632","1060960","1184531","780350","870980","405905875","523572595","748796","816090","183802","203491","2481","2029.2","41","45","81.3","210635","241803","105","2","108.9","-1.3","106.1","0.9","91.88586529877676","87.60342239516662","1.4","1.1145","1.1591","0.8754","1.1732","1.1239","1.0364","0.9094","1.0821","0.9115","1.0858"
